Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),ZONE 1:Zone Mean Air Temperature [C](Hourly),ZONE 1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),ZONE 1 PTHP:Zone Packaged Terminal Heat Pump Total Heating Rate [W](Hourly),ZONE 1 PTHP:Zone Packaged Terminal Heat Pump Electricity Rate [W](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),InteriorLights:Electricity [J](Hourly) 
 03/15  08:00:00,2.55,6.991666667,14.5,19.76008242,0.003401145,5086.952395,3973.074566,0,14124272.04,14303068.44,3110400
 03/15  09:00:00,2.45,11.28333333,167.4166667,20.00020131,0.003428353,2811.989266,2259.905613,0,8012487.254,8135660.207,3110400
 03/15  10:00:00,2.2,14.2,594.6666667,20.00000467,0.003010715,1820.324854,1507.476318,0,5345514.742,5426914.745,3110400
 03/15  11:00:00,2.55,14.2,744.9166667,20.00000275,0.002805832,1251.086031,1041.614892,0,3693758.642,3749813.61,3110400
 03/15  12:00:00,3.091666667,14.2,749.5,20.00000183,0.002829241,1006.530963,826.0068558,0,2929392.454,2973624.681,3110400
 03/15  13:00:00,3.3,13.675,892.3333333,20.00000134,0.002734294,845.6574182,694.191379,0,2461988.38,2499088.964,3110400
 03/15  14:00:00,3.008333333,11.84166667,965.6666667,20.00000094,0.002661836,646.9699794,543.0441693,0,1925861.828,1954959.01,3110400
 03/15  15:00:00,3.091666667,10.50833333,924.0833333,20.00292531,0.00277182,243.0090017,207.2717679,0,735069.7908,746178.3643,3110400
 03/15  16:00:00,3.008333333,10.76666667,853.6666667,20.00026798,0.002311894,700.4395356,578.597252,0,2051948.492,2082950.107,2073600
 03/15  17:00:00,2.45,8.358333333,687.5,20.00000078,0.002043542,624.6709112,527.0869956,0,1869123.844,1897513.184,2073600
 03/15  18:00:00,1.266666667,6.05,366.75,15.3094697,0.001817306,0,0,0,0,0,0
 03/15  19:00:00,0.25,9.241666667,0,11.88569855,0.001795697,0,0,0,0,0,0
 03/15  20:00:00,-0.641666667,9.25,0,9.645008063,0.00188874,0,0,0,0,0,0
 03/15  21:00:00,-1.45,8.608333333,0,7.888955924,0.001927653,0,0,0,0,0,0
 03/15  22:00:00,-1.7,7.825,0,6.619250097,0.001906318,0,0,0,0,0,0
 03/15  23:00:00,-1.991666667,7.983333333,0,5.589353671,0.001682964,0,0,0,0,0,0
 03/15  24:00:00,-2.55,10.18333333,0,4.576511376,0.001515206,0,0,0,0,0,0
 03/16  01:00:00,-3.441666667,9.35,0,3.523616144,0.001495296,0,0,0,0,0,0
 03/16  02:00:00,-4.891666667,7.575,0,2.284075515,0.001418863,0,0,0,0,0,0
 03/16  03:00:00,-5.891666667,7.725,0,1.142352692,0.001335762,0,0,0,0,0,0
 03/16  04:00:00,-6.741666667,8.1,0,0.142802926,0.001177231,0,0,0,0,0,0
 03/16  05:00:00,-8.191666667,8.566666667,0,-1.05968882,0.001081619,0,0,0,0,0,0
